siteId,date,ecoli,do,doContactTank,doOutfall,tss,temp
ecoli-1,1995-01-11,130,27.1,NA,NA,4,0
ecoli-1,1995-02-15,106,38.45,NA,NA,4,0
ecoli-1,1995-03-15,60,14.05,NA,NA,17,10
ecoli-1,1995-04-19,360,11.45,NA,NA,14,12.22222222
ecoli-1,1995-05-11,358,12.35,NA,NA,13,14.44444444
ecoli-1,1995-06-07,94,7.75,NA,NA,13,22.22222222
ecoli-1,1995-07-31,428,7.2,NA,NA,12,27.77777778
ecoli-1,1995-08-16,1160,6.4,NA,NA,16,27.77777778
ecoli-1,1995-09-13,94,7.9,NA,NA,6,19.44444444
ecoli-1,1995-10-11,68,8.9,NA,NA,4,13.88888889
ecoli-1,1995-11-01,190,10.2,NA,NA,6,10
ecoli-1,1995-12-13,8660,13.6,NA,NA,4,0
ecoli-1,1996-01-24,920,8.14,NA,NA,5,0
ecoli-1,1996-02-08,435,13.1,NA,NA,5,0
ecoli-1,1996-03-06,1050,13.3,NA,NA,4,0
ecoli-1,1996-04-15,19000,9.95,NA,NA,22,10
ecoli-1,1996-05-30,800,9.75,NA,NA,18,15
ecoli-1,1996-06-26,310,8.9,NA,NA,28,22.22222222
ecoli-1,1996-07-31,720,8.26,NA,NA,24,21.11111111
ecoli-1,1996-08-22,270,8.6,NA,NA,22,24.44444444
ecoli-1,1996-09-10,262,8.7,NA,NA,18,22.22222222
ecoli-1,1996-10-09,355,10.9,NA,NA,18,12.77777778
ecoli-1,1996-11-13,252,13.15,NA,NA,6,3.888888889
ecoli-1,1997-01-15,230,14.5,NA,NA,4,-1.111111111
ecoli-1,1997-02-12,890,14.4,NA,NA,4,1.111111111
ecoli-1,1997-03-05,130,13.3,NA,NA,20,3.888888889
ecoli-1,1997-04-02,22,11.7,NA,NA,16,5
ecoli-1,1997-06-18,1180,8.1,NA,NA,21,21.11111111
ecoli-1,1997-08-20,330,7.6,NA,NA,23,20.55555556
ecoli-1,1997-10-01,NA,NA,NA,NA,NA,NA
ecoli-1,1997-10-08,NA,NA,NA,NA,NA,NA
ecoli-1,1997-10-15,NA,NA,NA,NA,NA,NA
ecoli-1,1997-10-22,NA,NA,NA,NA,NA,NA
ecoli-1,1997-10-29,NA,NA,NA,NA,NA,NA
ecoli-1,1997-11-19,1460,10.9,NA,NA,2,2.222222222
ecoli-1,1997-12-17,530,13.45,NA,NA,1,2.222222222
ecoli-1,1998-03-18,1020,12.2,NA,NA,12,4.444444444
ecoli-1,1998-04-01,350,8.9,NA,NA,24,15
ecoli-1,1998-04-08,88,10.2,NA,NA,12,11.11111111
ecoli-1,1998-04-15,98,10.25,NA,NA,22,12.22222222
ecoli-1,1998-04-22,27,9.8,NA,NA,14,13.33333333
ecoli-1,1998-04-29,1710,9.7,NA,NA,13,13.33333333
ecoli-1,1998-05-06,160,8.9,NA,NA,20,17.77777778
ecoli-1,1998-05-13,65,8.5,NA,NA,9,19.44444444
ecoli-1,1998-05-20,116,7.85,NA,NA,10,22.77777778
ecoli-1,1998-05-27,166,8.35,NA,NA,12,18.88888889
ecoli-1,1998-06-02,55,7.6,NA,NA,14,21.11111111
ecoli-1,1998-06-10,74,8.55,NA,NA,11,17.22222222
ecoli-1,1998-06-17,184,7.65,NA,NA,15,21.66666667
ecoli-1,1998-06-24,84,7.15,NA,NA,12,26.11111111
ecoli-1,1998-07-01,214,6.75,NA,NA,13,25
ecoli-1,1998-07-08,355,6.65,NA,NA,12,25
ecoli-1,1998-07-15,148,7,NA,NA,7,25
ecoli-1,1998-07-22,1860,6.6,NA,NA,7,25.55555556
ecoli-1,1998-07-29,116,7.25,NA,NA,8,23.88888889
ecoli-1,1998-08-05,840,7.2,NA,NA,8,23.33333333
ecoli-1,1998-08-12,104,7.25,NA,NA,12,23.33333333
ecoli-1,1998-08-19,108,6.95,NA,NA,6,22.77777778
ecoli-1,1998-08-26,640,7.25,NA,NA,16,23.88888889
ecoli-1,1998-09-02,220,7.65,NA,NA,6,21.66666667
ecoli-1,1998-09-09,236,7.85,NA,NA,8,20.55555556
ecoli-1,1998-09-16,255,7.5,NA,NA,6,21.11111111
ecoli-1,1998-09-23,229,7.95,NA,NA,6,19.44444444
ecoli-1,1998-09-30,254,8.1,NA,NA,6,18.88888889
ecoli-1,1998-10-07,980,9.15,NA,NA,4,15
ecoli-1,1998-10-14,104,9.15,NA,NA,6,13.88888889
ecoli-1,1999-01-20,820,12.5,NA,NA,5,-1.111111111
ecoli-1,1999-02-03,110,12.9,NA,NA,8,2.222222222
ecoli-1,1999-02-10,305,11.75,NA,NA,8,3.333333333
ecoli-1,1999-03-24,70,12,NA,NA,6,5
ecoli-1,1999-04-07,265,9.85,NA,NA,15,12.77777778
ecoli-1,1999-04-14,220,10.3,NA,NA,14,11.11111111
ecoli-1,1999-04-21,75,10.35,NA,NA,12,11.11111111
