siteId,huc10
ecoli-1,0405000122
ecoli-10,0405000122
ecoli-11,0405000122
ecoli-12,0405000122
ecoli-2,0405000122
ecoli-3,0405000122
ecoli-4,0405000122
ecoli-5,0405000122
ecoli-6,0405000122
ecoli-7,0405000122
ecoli-8,0405000122
ecoli-9,0405000122
elkhart-1,0405000117
elkhart-10,0405000118
elkhart-11,0405000119
elkhart-12,0405000119
elkhart-14,0405000119
elkhart-15,0405000119
elkhart-16,0405000120
elkhart-17,0405000120
elkhart-18,0405000120
elkhart-19,0405000119
elkhart-2,0405000114
elkhart-20,0405000119
elkhart-21,0405000119
elkhart-22,0405000119
elkhart-23,0405000119
elkhart-24,0405000119
elkhart-25,0405000120
elkhart-26,0405000120
elkhart-27,0405000120
elkhart-28,0405000120
elkhart-29,0405000120
elkhart-3,0405000114
elkhart-30,0405000120
elkhart-31,0405000119
elkhart-32,0405000119
elkhart-33,0405000119
elkhart-34,0405000119
elkhart-35,0405000119
elkhart-36,0405000119
elkhart-37,0405000120
elkhart-38,0405000120
elkhart-39,0405000120
elkhart-4,0405000122
elkhart-40,0405000118
elkhart-41,0405000118
elkhart-42,0405000122
elkhart-43,0405000120
elkhart-44,0405000120
elkhart-45,0405000120
elkhart-46,0405000122
elkhart-47,0405000117
elkhart-48,0405000117
elkhart-49,0405000117
elkhart-5,0405000117
elkhart-50,0405000117
elkhart-52,0405000117
elkhart-53,0405000119
elkhart-54,0405000119
elkhart-55,0405000119
elkhart-56,0405000119
elkhart-57,0405000119
elkhart-58,0405000117
elkhart-59,0405000117
elkhart-6,0405000117
elkhart-60,0405000120
elkhart-61,0405000117
elkhart-62,0405000121
elkhart-63,0405000118
elkhart-64,0405000117
elkhart-65,0405000112
elkhart-7,0405000119
elkhart-8,0405000119
elkhart-9,0405000118
elkhart-66,0405000117
elkhart-67,0405000120
fish-1,0405000122
fish-10,0405000114
fish-11,0405000114
fish-12,0405000114
fish-13,0405000114
fish-14,0405000114
fish-15,0405000114
fish-16,0405000114
fish-17,0405000122
fish-18,0405000122
fish-19,0405000122
fish-2,0405000121
fish-20,0405000122
fish-21,0405000122
fish-22,0405000122
fish-23,0405000122
fish-24,0405000122
fish-25,0405000122
fish-26,0405000119
fish-27,0405000119
fish-28,0405000119
fish-29,0405000119
fish-3,0405000121
fish-30,0405000119
