siteId,date,invertMacro,invertNarrative,invertMichigan,invertIndiana
invert-1,1990-6-1,-1,Acceptable,-1,NA
invert-2,2000-6-1,4,Acceptable,4,NA
invert-3,2020-6-1,15,Low_Fair,NA,15
invert-3,2015-6-1,28,Fair,NA,28
invert-3,2017-6-1,34,Marg_Good,NA,34
invert-4,2008-6-1,30,Fair,NA,30
invert-4,2007-6-1,33,Marg_Good,NA,33
invert-4,2009-6-1,36,Good,NA,36
invert-5,2007-6-1,18,Low_Fair,NA,18
invert-5,2008-6-1,20,Low_Fair,NA,20
invert-5,2019-6-1,32,Marg_Good,NA,32
invert-5,2013-6-1,34,Marg_Good,NA,34
invert-5,2009-6-1,38,Good,NA,38
invert-5,2016-6-1,38,Good,NA,38
invert-7,2010-6-1,36,Good,NA,36
invert-7,2020-6-1,36,Good,NA,36
invert-7,2014-6-1,38,Good,NA,38
invert-7,2017-6-1,40,Good,NA,40
invert-7,2012-6-1,44,Very_Good,NA,44
invert-7,2011-6-1,48,Exceptional,NA,48
invert-6,2015-6-1,25,Fair,NA,25
invert-6,2018-6-1,44,Very_Good,NA,44
invert-6,2021-6-1,34,Marg_Good,NA,34
invert-8,2010-6-1,3,Acceptable,3,NA
invert-9,2005-6-1,3,Acceptable,3,NA
invert-9,2000-6-1,5,Excellent,5,NA
invert-10,2000-6-1,-1,Acceptable,-1,NA
invert-11,2008-6-1,4,Acceptable,4,NA
invert-12,2010-6-1,0,Acceptable,0,NA
invert-13,2008-6-1,4,Acceptable,4,NA
invert-13,2008-6-1,5,Excellent,5,NA
invert-13,2008-6-1,5,Excellent,5,NA
invert-13,2015-6-1,5,Excellent,5,NA
invert-13,2008-6-1,6,Excellent,6,NA
invert-13,2008-6-1,6,Excellent,6,NA
invert-14,2008-6-1,1,Acceptable,1,NA
invert-15,2015-6-1,1,Acceptable,1,NA
invert-16,2010-6-1,3,Acceptable,3,NA
invert-17,2010-6-1,-1,Acceptable,-1,NA
invert-18,2000-6-1,5,Excellent,5,NA
invert-19,2001-6-1,-1,Acceptable,-1,NA
invert-20,2011-6-1,-2,Acceptable,-2,NA
invert-21,2010-6-1,-3,Acceptable,-3,NA
invert-21,2020-6-1,-1,Acceptable,-1,NA
invert-21,2015-6-1,2,Acceptable,2,NA
invert-22,1991-6-1,-1,Acceptable,-1,NA
invert-23,2006-6-1,4,Acceptable,4,NA
invert-24,2006-6-1,0,Acceptable,0,NA
invert-25,2011-6-1,1,Acceptable,1,NA
invert-26,2011-6-1,0,Acceptable,0,NA
invert-26,2001-6-1,1,Acceptable,1,NA
invert-27,1994-6-1,-1,Acceptable,-1,NA
invert-28,2004-6-1,8,Poor,NA,8
invert-28,2005-6-1,10,Poor,NA,10
invert-28,2006-6-1,16,Low_Fair,NA,16
invert-28,2009-6-1,28,Fair,NA,28
invert-28,2012-6-1,32,Marg_Good,NA,32
invert-28,2015-6-1,32,Marg_Good,NA,32
invert-28,2021-6-1,32,Marg_Good,NA,32
invert-29,2019-6-1,26,Fair,NA,26
invert-29,2017-6-1,34,Marg_Good,NA,34
invert-29,2018-6-1,34,Marg_Good,NA,34
invert-30,2020-6-1,22,Fair,NA,22
invert-30,2018-6-1,26,Fair,NA,26
invert-30,2015-6-1,30,Fair,NA,30
invert-30,2021-6-1,22,Fair,,22
invert-31,2010-6-1,25,Fair,NA,25
invert-31,2019-6-1,34,Marg_Good,NA,34
invert-32,2016-6-1,25,Fair,NA,25
